,game_name,ratio_played,user
0,Team Fortress 2,0.289900493614,0
1,The Binding of Isaac,0.033064326569,0
2,Borderlands,0.0325942176604,0
3,Darksiders II,0.0310271879652,0
4,DARK SOULS\u2122: Prepare To Die Edition,0.0228786335501,0
5,The Binding of Isaac: Rebirth,0.0184909504035,0
6,MURI,0.0148867821045,0
7,Hand of Fate,0.0145733761655,0
8,Borderlands 2,0.0141032672569,0
9,Dota 2,0.0139465642874,0
10,Dead by Daylight,0.0133197524093,0
11,Plants vs. Zombies: Game of the Year,0.0112826138055,0
12,Portal 2,0.010812504897,0
13,Grand Theft Auto IV,0.0103423959884,0
14,FTL: Faster Than Light,0.00971558411032,0
15,The Elder Scrolls V: Skyrim,0.0095588811408,0
16,Tabletop Simulator,0.00893206926271,0
17,Super Monday Night Combat,0.00893206926271,0
18,Battlerite,0.00877536629319,0
19,Dead Space,0.00861866332367,0
20,Enter the Gungeon,0.00846196035415,0
21,Shadowverse,0.00830525738463,0
22,Fallout: New Vegas,0.00814855441511,0
23,Aporia: Beyond The Valley,0.00752174253702,0
24,Alan Wake,0.00752174253702,0
25,BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,0.00705163362846,0
26,Hitman: Blood Money,0.00642482175037,0
27,Darksiders,0.00642482175037,0
28,Super Meat Boy,0.00626811878085,0
29,Poker Night 2,0.00595471284181,0
30,Hand of Fate 2,0.00595471284181,0
31,Armello,0.00579800987229,0
32,DARK SOULS\u2122 III,0.00564130690277,0
33,Far Cry 2,0.00532790096372,0
34,Left 4 Dead 2,0.0051711979942,0
35,Deus Ex: Game of the Year Edition,0.0051711979942,0
36,Dust: An Elysian Tail,0.00485779205516,0
37,Nidhogg,0.00485779205516,0
38,Shovel Knight: Treasure Trove,0.00454438611612,0
39,Bastion,0.0043876831466,0
40,The Talos Principle,0.0043876831466,0
41,Flinthook,0.00407427720755,0
42,Rogue Legacy,0.00407427720755,0
43,Poker Night at the Inventory,0.00407427720755,0
44,Psychonauts,0.00407427720755,0
45,BioShock 2,0.00360416829899,0
46,McPixel,0.00344746532947,0
47,Batman: Arkham Asylum GOTY Edition,0.00344746532947,0
48,Orcs Must Die! 2,0.00344746532947,0
49,Super Hexagon,0.00329076235995,0
50,Rayman Legends,0.00313405939043,0
51,Far Cry,0.00313405939043,0
52,Mark of the Ninja,0.00311838909347,0
53,Monday Night Combat,0.00299302671786,0
